"About the data: Exported on Jun 01, 2020. Criteria: Text - '""water insecurity"" OR ""water security"" ' in title and abstract. For more information, please see https://app.dimensions.ai/datasources. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,Publisher,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Research Organizations - standardized,GRID IDs,City of Research organization,State of Research organization,Country of Research organization,Funder,Funder Group,Funder Country,UIDs of supporting grants,Supporting Grants,Times cited,Recent citations,RCR,FCR,Altmetric,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,RCDC Categories,HRCS HC Categories,HRCS RAC Categories,ICRP Cancer Types,ICRP CSO Categories,Units of Assessment,Sustainable Development Goals
20,pub.1084641622,10.2166/washdev.2017.155,,,The role of packaged water in meeting global targets on improved water access,Journal of Water Sanitation and Hygiene for Development,,IWA Publishing,,2017-09-01,2017,7,3,369-377,All OA; Hybrid,Article,"Vedachalam, Sridhar; MacDonald, Luke H.; Omoluabi, Elizabeth; OlaOlorun, Funmilola; Otupiri, Easmon; Schwab, Kellogg J.",,"Vedachalam, Sridhar (Johns Hopkins University); MacDonald, Luke H. (Johns Hopkins University); Omoluabi, Elizabeth (University of the Western Cape); OlaOlorun, Funmilola (University of Ibadan); Otupiri, Easmon (Kwame Nkrumah University of Science and Technology); Schwab, Kellogg J. (Johns Hopkins University)",University of Ibadan; Johns Hopkins University; University of the Western Cape; Kwame Nkrumah University of Science and Technology,grid.9582.6; grid.21107.35; grid.8974.2; grid.9829.a,Ibadan; Baltimore; Cape Town; Kumasi,Oyo; Maryland; Western Cape; Ashanti,Nigeria; United States; South Africa; Ghana,Bill & Melinda Gates Foundation,cOAlition S,United States,,,4,4,,1.27,1,https://iwaponline.com/washdev/article-pdf/7/3/369/158959/washdev0070369.pdf,https://app.dimensions.ai/details/publication/pub.1084641622,09 Engineering; 12 Built Environment and Design; 0502 Environmental Science and Management; 1205 Urban and Regional Planning; 05 Environmental Sciences; 0907 Environmental Engineering,,,,,,B12 Engineering,
17,pub.1110522118,10.21608/jes.2017.20364,,,AWATER PRICING STRATEGIES AS AN ECONOMIC TOOL TOWARDS WATER SECURITY,Journal of Environmental Science,,Egypts Presidential Specialized Council for Education and Scientific Research,,2017-09-01,2017,39,3,75-102,"All OA; Green, Submitted",Article,"I. E., Nadim,; S. A., Saad,; Ngwa, S., Helal,",,"I. E., Nadim, (); S. A., Saad, (); Ngwa, S., Helal, ()",,,,,,,,,,,0,0,,0.0,,http://pdfs.semanticscholar.org/2bd8/1f8d24f9a29a11743641a51e3e6b479d6c9c.pdf,https://app.dimensions.ai/details/publication/pub.1110522118,1402 Applied Economics; 14 Economics,,,,,,B12 Engineering,6 Clean Water and Sanitation
618,pub.1085433930,10.1016/j.jenvman.2017.04.088,28527379,,Diagnosing water security in the rural North with an environmental security framework,Journal of Environmental Management,,Elsevier,Alaska; Environment; Humans; Rural Population; Water; Water Supply,2017-09,2017,199,,91-98,Closed,Article,"Penn, Henry J.F.; Loring, Philip A.; Schnabel, William E.","Penn, Henry J.F. (University of Alaska Fairbanks)","Penn, Henry J.F. (University of Alaska Fairbanks); Loring, Philip A. (University of Saskatchewan); Schnabel, William E. (University of Alaska Fairbanks)",University of Saskatchewan; University of Alaska Fairbanks,grid.25152.31; grid.70738.3b,Saskatoon; Fairbanks,Saskatchewan; Alaska,Canada; United States,Directorate for Geosciences; Climate Program Office; National Oceanic and Atmospheric Administration,NSF; NOAA,United States; United States; United States,grant.4043833; grant.4049744; grant.3482930,NA11OAR4310135; NA11OAR4310141; 1263853,7,7,0.3,2.2,8,,https://app.dimensions.ai/details/publication/pub.1085433930,05 Environmental Sciences; 0502 Environmental Science and Management,Rural Health,,,,,C22 Anthropology and Development Studies,6 Clean Water and Sanitation
35,pub.1084040904,10.1007/s40899-017-0080-0,,,Mapping of virtual water from wheat and rice consumption for India,Sustainable Water Resources Management,,Springer Nature,,2017-09,2017,3,3,227-239,Closed,Article,"Tiwari, Harinarayan; Shivangi, Kumari; Rai, Subash Pd.; Chaudhary, Randhir Kumar","Tiwari, Harinarayan (Indian Institute of Technology Roorkee)","Tiwari, Harinarayan (Indian Institute of Technology Roorkee); Shivangi, Kumari (Indira Gandhi National Open University); Rai, Subash Pd. (Indian Institute of Technology Roorkee); Chaudhary, Randhir Kumar ()",Indira Gandhi National Open University; Indian Institute of Technology Roorkee,grid.257435.2; grid.19003.3b,New Delhi; Roorkee,; ,India; India,,,,,,0,0,,0.0,,,https://app.dimensions.ai/details/publication/pub.1084040904,05 Environmental Sciences; 0502 Environmental Science and Management,,,,,,C14 Geography and Environmental Studies,6 Clean Water and Sanitation
33,pub.1014669929,10.1016/j.apenergy.2016.10.041,,,Optimal control of heat pump water heater-instantaneous shower using integrated renewable-grid energy systems,Applied Energy,,Elsevier,,2017-09,2017,201,,332-342,"All OA; Green, Submitted",Article,"Wanjiru, Evan M.; Sichilalu, Sam M.; Xia, Xiaohua","Wanjiru, Evan M. (University of Pretoria)","Wanjiru, Evan M. (University of Pretoria); Sichilalu, Sam M. (); Xia, Xiaohua (University of Pretoria)",University of Pretoria,grid.49697.35,Pretoria,,South Africa,,,,,,16,10,,4.07,1,https://repository.up.ac.za/bitstream/2263/58616/1/Wanjiru_Optimal_2017.pdf,https://app.dimensions.ai/details/publication/pub.1014669929,09 Engineering; 0907 Environmental Engineering,,,,,,"C13 Architecture, Built Environment and Planning",7 Affordable and Clean Energy; 13 Climate Action
28,pub.1085612737,10.1016/j.envsci.2017.05.007,,,Mainstreaming investments in watershed services to enhance water security: Barriers and opportunities,Environmental Science & Policy,,Elsevier,,2017-09,2017,75,,19-27,"All OA; Green, Submitted",Article,"Vogl, Adrian L.; Goldstein, Joshua H.; Daily, Gretchen C.; Vira, Bhaskar; Bremer, Leah; McDonald, Robert I.; Shemie, Daniel; Tellman, Beth; Cassin, Jan","Vogl, Adrian L. (Stanford University; Royal Swedish Academy of Sciences)","Vogl, Adrian L. (Stanford University; Royal Swedish Academy of Sciences); Goldstein, Joshua H. (); Daily, Gretchen C. (Stanford University; Royal Swedish Academy of Sciences; Stanford University); Vira, Bhaskar (University of Cambridge); Bremer, Leah (Stanford University); McDonald, Robert I. (The Nature Conservancy); Shemie, Daniel (The Nature Conservancy); Tellman, Beth (Arizona State University); Cassin, Jan (Forest Trends)",University of Cambridge; Stanford University; Arizona State University; Forest Trends; The Nature Conservancy; Royal Swedish Academy of Sciences,grid.5335.0; grid.168010.e; grid.215654.1; grid.500121.7; grid.422375.5; grid.419331.d,Cambridge; Stanford; Tempe; Washington D.C.; Arlington; Stockholm,; California; Arizona; District of Columbia; Virginia; ,United Kingdom; United States; United States; United States; United States; Sweden,Natural Environment Research Council; Gordon and Betty Moore Foundation; Economic and Social Research Council,cOAlition S; UKRI; ICRP,United Kingdom; United States; United Kingdom,grant.2759849; grant.2784546,NE/L001365/1; NE/I003924/1,17,17,,12.71,9,https://www.repository.cam.ac.uk/handle/1810/266601,https://app.dimensions.ai/details/publication/pub.1085612737,1605 Policy and Administration; 16 Studies in Human Society,,,,,,B07 Earth Systems and Environmental Sciences,13 Climate Action
25,pub.1018979056,10.1007/s13201-016-0440-1,,,Water scarcity in the Arabian Peninsula and socio-economic implications,Applied Water Science,,Springer Nature,,2017-09,2017,7,5,2479-2492,All OA; Pure Gold,Article,"Odhiambo, George O.","Odhiambo, George O. (United Arab Emirates University)","Odhiambo, George O. (United Arab Emirates University)",United Arab Emirates University,grid.43519.3a,Al Ain,,United Arab Emirates,,,,,,16,14,,14.74,1,https://link.springer.com/content/pdf/10.1007%2Fs13201-016-0440-1.pdf,https://app.dimensions.ai/details/publication/pub.1018979056,1402 Applied Economics; 14 Economics,,,,,,C14 Geography and Environmental Studies,6 Clean Water and Sanitation
20,pub.1090683080,10.1016/j.ijsrc.2017.07.003,,,Modelling of resuspension due to fish activity: Mathematical modeling and annular flume experiments,International Journal of Sediment Research,,Elsevier,,2017-09,2017,32,3,421-431,Closed,Article,"Skulovich, Olya; Cofalla, Catrina; Ganal, Caroline; Schüttrumpf, Holger; Ostfeld, Avi","Ostfeld, Avi (Technion – Israel Institute of Technology)","Skulovich, Olya (Technion – Israel Institute of Technology); Cofalla, Catrina (RWTH Aachen University); Ganal, Caroline (RWTH Aachen University); Schüttrumpf, Holger (RWTH Aachen University); Ostfeld, Avi (Technion – Israel Institute of Technology)",Technion – Israel Institute of Technology; RWTH Aachen University,grid.6451.6; grid.1957.a,Haifa; Aachen,; Nordrhein-Westfalen,Israel; Germany,"Federal Ministry of Education and Research; Ministry of Science, Technology and Space; National Research Council",,Germany; Israel; Italy,grant.7983063,02WA1298,0,0,,0.0,,,https://app.dimensions.ai/details/publication/pub.1090683080,0503 Soil Sciences; 04 Earth Sciences; 0403 Geology; 05 Environmental Sciences,,,,,,C14 Geography and Environmental Studies,
20,pub.1090679847,10.1007/s40518-017-0076-2,,,Energy for Water and Desalination,Current Sustainable/Renewable Energy Reports,,Springer Nature,,2017-09,2017,4,3,109-116,Closed,Article,"Sullivan Graham, E. J.; Baktian, Noel; Camacho, Lucy Mar; Chellam, Shankar; Mroue, Ahmed; Sperling, Joshua B.; Topolski, Kevin; Xu, Pei","Sullivan Graham, E. J. (University of New Mexico)","Sullivan Graham, E. J. (University of New Mexico); Baktian, Noel (Idaho National Laboratory); Camacho, Lucy Mar (Texas A&M University – Kingsville); Chellam, Shankar (Texas A&M University – Kingsville); Mroue, Ahmed (Texas A&M University); Sperling, Joshua B. (National Renewable Energy Laboratory); Topolski, Kevin (Texas A&M University); Xu, Pei (New Mexico State University)",New Mexico State University; Idaho National Laboratory; University of New Mexico; Texas A&M University – Kingsville; Texas A&M University; National Renewable Energy Laboratory,grid.24805.3b; grid.417824.c; grid.266832.b; grid.264760.1; grid.264756.4; grid.419357.d,Las Cruces; Idaho Falls; Albuquerque; Kingsville; College Station; Golden,New Mexico; Idaho; New Mexico; Texas; Texas; Colorado,United States; United States; United States; United States; United States; United States,,,,,,0,0,,0.0,,,https://app.dimensions.ai/details/publication/pub.1090679847,09 Engineering; 0904 Chemical Engineering,,,,,,B12 Engineering,7 Affordable and Clean Energy; 13 Climate Action
17,pub.1085447165,10.1016/j.ecolind.2017.05.026,,,Assessing the impacts of reservoir expansion using a population model for a threatened riverine fish,Ecological Indicators,,Elsevier,,2017-09,2017,80,,204-214,Closed,Article,"Todd, Charles R.; Lintermans, Mark; Raymond, Scott; Ryall, Jordi","Todd, Charles R. (Department of Environment, Land, Water and Planning)","Todd, Charles R. (Department of Environment, Land, Water and Planning); Lintermans, Mark (University of Canberra); Raymond, Scott (Department of Environment, Land, Water and Planning); Ryall, Jordi (Deakin University)","Deakin University; Department of Environment, Land, Water and Planning; University of Canberra",grid.1021.2; grid.452205.4; grid.1039.b,Geelong; Melbourne; Canberra,Victoria; Victoria; Australian Capital Territory,Australia; Australia; Australia,,,,,,3,3,,0.91,,,https://app.dimensions.ai/details/publication/pub.1085447165,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,,,,,,C14 Geography and Environmental Studies,
12,pub.1090388284,10.1016/j.advwatres.2017.07.007,,,Integrated meteorological and hydrological drought model: A management tool for proactive water resources planning of semi-arid regions,Advances in Water Resources,,Elsevier,,2017-09,2017,107,,336-353,Closed,Article,"Rad, Arash Modaresi; Ghahraman, Bijan; Khalili, Davar; Ghahremani, Zahra; Ardakani, Samira Ahmadi","Rad, Arash Modaresi (Ferdowsi University of Mashhad)","Rad, Arash Modaresi (Ferdowsi University of Mashhad); Ghahraman, Bijan (Ferdowsi University of Mashhad); Khalili, Davar (Shiraz University); Ghahremani, Zahra (Ferdowsi University of Mashhad); Ardakani, Samira Ahmadi (Ferdowsi University of Mashhad)",Ferdowsi University of Mashhad; Shiraz University,grid.411301.6; grid.412573.6,Mashhad; Shiraz,; ,Iran; Iran,,,,,,18,18,,6.86,,,https://app.dimensions.ai/details/publication/pub.1090388284,09 Engineering; 0102 Applied Mathematics; 0905 Civil Engineering; 01 Mathematical Sciences; 0907 Environmental Engineering,,,,,,B12 Engineering,
174,pub.1091400018,10.3390/w9090655,,,Challenges to Water Security along the “Emerald Coast”: A Political Ecology of Local Water Governance in Nicaragua,Water,,MDPI,,2017-08-31,2017,9,9,655,All OA; Pure Gold,Article,"LaVanchy, G.; Romano, Sarah; Taylor, Matthew",,"LaVanchy, G. (); Romano, Sarah (); Taylor, Matthew ()",,,,,,,,,,,3,3,,2.24,8,https://www.mdpi.com/2073-4441/9/9/655/pdf,https://app.dimensions.ai/details/publication/pub.1091400018,1605 Policy and Administration; 16 Studies in Human Society,,,,,,C14 Geography and Environmental Studies,6 Clean Water and Sanitation; 2 Zero Hunger
50,pub.1091671926,10.18006/2017.5(spl-1-safsaw).s126.s135,,,Using VARX model to forecast the effect of cultivation of main crops on water security in Saudi Arabia,Journal of Experimental Biology and Agricultural Sciences,,Journal of Experimental Biology and Agricultural Sciences,,2017-08-31,2017,,,126-135,All OA; Bronze,Article,"Alnashwan, Othman S.; Alderiny, Mahmoud M.",,"Alnashwan, Othman S. (); Alderiny, Mahmoud M. ()",,,,,,,,,,,0,0,,,,https://doi.org/10.18006/2017.5(spl-1-safsaw).s126.s135,https://app.dimensions.ai/details/publication/pub.1091671926,,,,,,,,
28,pub.1091393271,10.3390/resources6030044,,,Water Governance in Cambodia: From Centralized Water Governance to Farmer Water User Community,Resources,,MDPI,,2017-08-31,2017,6,3,44,All OA; Pure Gold,Article,"Sithirith, Mak",,"Sithirith, Mak ()",,,,,,,,,,,2,2,,0.63,1,https://www.mdpi.com/2079-9276/6/3/44/pdf,https://app.dimensions.ai/details/publication/pub.1091393271,05 Environmental Sciences; 0502 Environmental Science and Management,,,,,,C14 Geography and Environmental Studies,"6 Clean Water and Sanitation; 16 Peace, Justice and Strong Institutions"
25,pub.1085492735,10.1515/ntrev-2017-0124,,,Spacer layer engineering for ultrasensitive Hg(II) detection on surface plasmon-coupled emission platform,Nanotechnology Reviews,,De Gruyter,,2017-08-28,2017,6,4,331-338,Closed,Article,"Badiya, Pradeep Kumar; Jayakumar, Tejkiran Pindi; Srinivasan, Venkatesh; Ramamurthy, Sai Sathish",,"Badiya, Pradeep Kumar (Sri Sathya Sai Institute of Higher Learning); Jayakumar, Tejkiran Pindi (Sri Sathya Sai Institute of Higher Learning); Srinivasan, Venkatesh (Sri Sathya Sai Institute of Higher Learning); Ramamurthy, Sai Sathish (Sri Sathya Sai Institute of Higher Learning)",Sri Sathya Sai Institute of Higher Learning,grid.444651.6,Puttaparthi,,India,,,,,,0,0,,0.0,,,https://app.dimensions.ai/details/publication/pub.1085492735,09 Engineering; 0907 Environmental Engineering,Nanotechnology; Bioengineering,,,,,B12 Engineering,
15,pub.1091195640,10.3233/jcc-170010,,,Glacier Environment and Climate Change in Bhutan—An Overview,Journal of Climate Change,,IOS Press,,2017-08-10,2017,3,2,1-10,Closed,Article,"Mahagaonkar, Anirudha; Wangchuk, Sonam; Ramanathan, AL; Tshering, Dendup; Mahanta, Chandan",,"Mahagaonkar, Anirudha (Indian Institute of Technology Guwahati); Wangchuk, Sonam (); Ramanathan, AL (Jawaharlal Nehru University); Tshering, Dendup (Royal University of Bhutan); Mahanta, Chandan (Indian Institute of Technology Guwahati; Indian Institute of Technology Guwahati)",Indian Institute of Technology Guwahati; Jawaharlal Nehru University; Royal University of Bhutan,grid.417972.e; grid.10706.30; grid.449502.e,Guwahati; New Delhi; Thimphu,Assam; ; ,India; India; Bhutan,,,,,,0,0,,0.0,,,https://app.dimensions.ai/details/publication/pub.1091195640,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,,,,,,C14 Geography and Environmental Studies,7 Affordable and Clean Energy; 13 Climate Action
20,pub.1001708198,10.1080/1573062x.2016.1240807,,,Landscape elements as a basis for integrated water management,Urban Water Journal,,Taylor & Francis,,2017-08-09,2017,14,7,1-10,Closed,Article,"Ranzato, Marco",,"Ranzato, Marco (Université Libre de Bruxelles)",Université Libre de Bruxelles,grid.4989.c,Brussels,,Belgium,Innoviris,,Belgium,,,3,2,,0.76,,,https://app.dimensions.ai/details/publication/pub.1001708198,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,,,,,,C14 Geography and Environmental Studies,6 Clean Water and Sanitation
35,pub.1091087348,10.3390/w9080589,,,"Reconciling Drought Vulnerability Assessment Using a Convergent Approach: Application to Water Security in the Elqui River Basin, North-Central Chile",Water,,MDPI,,2017-08-08,2017,9,8,589,All OA; Pure Gold,Article,"Núñez, Jorge; Vergara, Abraham; Leyton, Camila; Metzkes, Christine; Mancilla, Gabriel; Bettancourt, Dagoberto",,"Núñez, Jorge (); Vergara, Abraham (); Leyton, Camila (); Metzkes, Christine (); Mancilla, Gabriel (); Bettancourt, Dagoberto ()",,,,,,National Commission for Scientific and Technological Research,,Chile,,,3,3,,0.94,1,https://www.mdpi.com/2073-4441/9/8/589/pdf,https://app.dimensions.ai/details/publication/pub.1091087348,05 Environmental Sciences; 0502 Environmental Science and Management,,,,,,B07 Earth Systems and Environmental Sciences,
20,pub.1092089515,10.4314/wsa.v43i3.04,,,Water service delivery challenges in a small South African municipality: Identifying and exploring key elements and relationships in a complex social-ecological system,Water SA,,Academy of Science of South Africa,,2017-08-02,2017,43,3,398-408,All OA; Bronze,Article,"Weaver, M.J.T.; O’Keeffe, J; Hamer, N; Palmer, C.G.",,"Weaver, M.J.T. (); O’Keeffe, J (); Hamer, N (); Palmer, C.G. ()",,,,,,,,,,,4,4,,,8,https://www.ajol.info/index.php/wsa/article/download/159655/149208,https://app.dimensions.ai/details/publication/pub.1092089515,09 Engineering; 04 Earth Sciences; 05 Environmental Sciences,,,,,,C20 Social Work and Social Policy,
20,pub.1084641630,10.2166/wp.2017.130,,,Paradigms for water allocation in river basins: a society-science-practice perspective from Southern Africa,Water Policy,,IWA Publishing,,2017-08-01,2017,19,4,637-649,All OA; Bronze,Article,"Chomba, M. J.; Hill, T.; Nkhata, B. A.; Förster, J. J.",,"Chomba, M. J. (University of KwaZulu-Natal); Hill, T. (University of KwaZulu-Natal); Nkhata, B. A. (Monash South Africa); Förster, J. J. ()",Monash South Africa; University of KwaZulu-Natal,grid.470947.9; grid.16463.36,Johannesburg; Durban,; ,South Africa; South Africa,,,,,,2,2,,1.61,,https://iwaponline.com/wp/article-pdf/19/4/637/403038/019040637.pdf,https://app.dimensions.ai/details/publication/pub.1084641630,1605 Policy and Administration; 16 Studies in Human Society; 1402 Applied Economics; 14 Economics,,,,,,C22 Anthropology and Development Studies,6 Clean Water and Sanitation
218,pub.1084030724,10.1007/s11269-017-1606-9,,,Responding to the ‘Wicked Problem’ of Water Insecurity,Water Resources Management,,Springer Nature,,2017-08,2017,31,10,3023-3041,Closed,Article,"Quentin Grafton, R.","Quentin Grafton, R. (Australian National University; National University of Singapore)","Quentin Grafton, R. (Australian National University; National University of Singapore)",Australian National University; National University of Singapore,grid.1001.0; grid.4280.e,Canberra; Singapore,Australian Capital Territory; ,Australia; Singapore,,,,,,20,18,,18.2,3,,https://app.dimensions.ai/details/publication/pub.1084030724,1402 Applied Economics; 14 Economics,,,,,,B12 Engineering,6 Clean Water and Sanitation; 2 Zero Hunger
70,pub.1091403616,10.1126/sciadv.1700581,28875164,PMC5576883,Increasing drought in Jordan: Climate change and cascading Syrian land-use impacts on reducing transboundary flow,Science Advances,,American Association for the Advancement of Science (AAAS),,2017-08,2017,3,8,e1700581,All OA; Pure Gold,Article,"Rajsekhar, Deepthi; Gorelick, Steven M.",,"Rajsekhar, Deepthi (California Natural Resources Agency); Gorelick, Steven M. (Stanford University)",California Natural Resources Agency; Stanford University,grid.427509.d; grid.168010.e,Sacramento; Stanford,California; California,United States; United States,Directorate for Geosciences,NSF,United States,grant.3489442,1342869,10,10,0.3,2.78,202,https://advances.sciencemag.org/content/advances/3/8/e1700581.full.pdf,https://app.dimensions.ai/details/publication/pub.1091403616,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,,,,,,C14 Geography and Environmental Studies,13 Climate Action
64,pub.1085173187,10.1016/j.pce.2017.04.007,,,Water security for productive economies: Applying an assessment framework in southern Africa,Physics and Chemistry of the Earth Parts A/B/C,,Elsevier,,2017-08,2017,100,,258-269,Closed,Article,"Holmatov, Bunyod; Lautze, Jonathan; Manthrithilake, Herath; Makin, Ian","Holmatov, Bunyod ","Holmatov, Bunyod (); Lautze, Jonathan (); Manthrithilake, Herath (); Makin, Ian ()",,,,,,,,,,,6,5,,1.74,,,https://app.dimensions.ai/details/publication/pub.1085173187,0404 Geophysics; 04 Earth Sciences; 0403 Geology; 0402 Geochemistry,,,,,,C22 Anthropology and Development Studies,
60,pub.1091511058,10.1016/j.pce.2017.08.001,,,Integrated water resources management and infrastructure planning for water security in Southern Africa,Physics and Chemistry of the Earth Parts A/B/C,,Elsevier,,2017-08,2017,100,,1-2,Closed,Article,"Mapani, Benjamin; Magole, Lapologang; Makurira, Hodson; Meck, Maideyi; Mkandawire, Theresa; Mul, Marloes; Ngongondo, Cosmo","Mapani, Benjamin (University of Namibia)","Mapani, Benjamin (University of Namibia); Magole, Lapologang (University of Botswana); Makurira, Hodson (University of Zimbabwe); Meck, Maideyi (University of Zimbabwe); Mkandawire, Theresa (University of Malawi); Mul, Marloes (); Ngongondo, Cosmo (University of Malawi)",University of Malawi; University of Zimbabwe; University of Namibia; University of Botswana,grid.10595.38; grid.13001.33; grid.10598.35; grid.7621.2,Zomba; Harare; Windhoek; Gaborone,Nkhotakota; Harare; Khomas; ,Malawi; Zimbabwe; Namibia; Botswana,,,,,,1,1,,0.29,,,https://app.dimensions.ai/details/publication/pub.1091511058,0404 Geophysics; 04 Earth Sciences; 0403 Geology; 0402 Geochemistry,,,,,,,6 Clean Water and Sanitation
50,pub.1091466517,10.1088/1755-1315/82/1/012029,,,A novel water poverty index model for evaluation of Chinese regional water security,IOP Conference Series Earth and Environmental Science,,IOP Publishing,,2017-08,2017,82,1,012029,All OA; Pure Gold,Article,"Gong, L; Jin, C L; Li, Y X; Zhou, Z L",,"Gong, L (Lanzhou Jiaotong University); Jin, C L (Lanzhou Jiaotong University); Li, Y X (Lanzhou Jiaotong University); Zhou, Z L (Lanzhou Jiaotong University)",Lanzhou Jiaotong University,grid.411290.f,Lanzhou,,China,,,,,,2,2,,0.52,,https://iopscience.iop.org/article/10.1088/1755-1315/82/1/012029/pdf,https://app.dimensions.ai/details/publication/pub.1091466517,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,,,,,,C14 Geography and Environmental Studies,
34,pub.1090366100,10.1002/2017wr020640,,,"Water security, risk, and economic growth: Insights from a dynamical systems model",Water Resources Research,,American Geophysical Union (AGU),,2017-08,2017,53,8,6425-6438,All OA; Bronze,Article,"Dadson, Simon; Hall, Jim W.; Garrick, Dustin; Sadoff, Claudia; Grey, David; Whittington, Dale",,"Dadson, Simon (University of Oxford); Hall, Jim W. (University of Oxford); Garrick, Dustin (University of Oxford; McMaster University); Sadoff, Claudia (World Bank); Grey, David (University of Oxford); Whittington, Dale (University of North Carolina at Chapel Hill; University of Manchester)",World Bank; University of Oxford; University of Manchester; McMaster University; University of North Carolina at Chapel Hill,grid.431778.e; grid.4991.5; grid.5379.8; grid.25073.33; grid.10698.36,Washington D.C.; Oxford; Manchester; Hamilton; Chapel Hill,District of Columbia; Oxfordshire; Manchester; Ontario; North Carolina,United States; United Kingdom; United Kingdom; Canada; United States,Natural Environment Research Council; Social Sciences and Humanities Research Council,cOAlition S; UKRI,United Kingdom; Canada,grant.2769586; grant.2777205; grant.4107043,NE/K002309/1; NE/M020339/1; NE/I01277X/2,22,22,,6.48,1,https://agupubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/2017WR020640,https://app.dimensions.ai/details/publication/pub.1090366100,09 Engineering; 0905 Civil Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0907 Environmental Engineering,,Generic Health Relevance,,,,C17 Business and Management Studies,8 Decent Work and Economic Growth
28,pub.1085510661,10.1061/(asce)wr.1943-5452.0000779,,,Multicriteria Analysis to Select an Optimal Operating Option for a Water Grid,Journal of Water Resources Planning and Management,,American Society of Civil Engineers (ASCE),,2017-08,2017,143,8,05017005,Closed,Article,"Ashbolt, Stephanie C.; Perera, B. J. C.",,"Ashbolt, Stephanie C. (Victoria University); Perera, B. J. C. (Victoria University)",Victoria University,grid.1019.9,Melbourne,Victoria,Australia,Queensland Government,,Australia,,,4,3,,1.02,,,https://app.dimensions.ai/details/publication/pub.1085510661,09 Engineering; 0907 Environmental Engineering,,,,,,B12 Engineering,
25,pub.1085737826,10.1007/s11269-017-1725-3,,,Overview of Water Policy Developments: Pre- and Post-2015 Development Agenda,Water Resources Management,,Springer Nature,,2017-08,2017,31,10,3001-3021,Closed,Article,"Harmancioglu, Nilgun B.","Harmancioglu, Nilgun B. (Dokuz Eylül University)","Harmancioglu, Nilgun B. (Dokuz Eylül University)",Dokuz Eylül University,grid.21200.31,Izmir,,Turkey,,,,,,8,7,,9.21,,,https://app.dimensions.ai/details/publication/pub.1085737826,1606 Political Science; 16 Studies in Human Society,,,,,,C19 Politics and International Studies,6 Clean Water and Sanitation
20,pub.1090882897,10.1038/nclimate3348,,,A revival of Indian summer monsoon rainfall since 2002,Nature Climate Change,,Springer Nature,,2017-08,2017,7,8,587-594,Closed,Article,"Jin, Qinjian; Wang, Chien","Wang, Chien (Massachusetts Institute of Technology)","Jin, Qinjian (Massachusetts Institute of Technology); Wang, Chien (Massachusetts Institute of Technology)",Massachusetts Institute of Technology,grid.116068.8,Cambridge,Massachusetts,United States,Office of Science; Directorate for Geosciences; United States Department of Energy,U.S. DoE; NSF,United States; United States; United States,grant.4319539; grant.3488963,DE-FG02-94ER61937; 1339264,43,40,,10.04,231,,https://app.dimensions.ai/details/publication/pub.1090882897,04 Earth Sciences; 0401 Atmospheric Sciences; 0405 Oceanography,,,,,,B07 Earth Systems and Environmental Sciences,13 Climate Action
20,pub.1085184195,10.1016/j.landurbplan.2017.03.012,,,The interaction of risk allocation and governance arrangements in innovative urban stormwater and recycling projects,Landscape and Urban Planning,,Elsevier,,2017-08,2017,164,,37-48,Closed,Article,"Lane, Ruth; Bettini, Yvette; McCallum, Tara; Head, Brian W.","Lane, Ruth (Monash University)","Lane, Ruth (Monash University); Bettini, Yvette (University of Queensland); McCallum, Tara (Monash University); Head, Brian W. (University of Queensland)",University of Queensland; Monash University,grid.1003.2; grid.1002.3,Brisbane; Melbourne,Queensland; Victoria,Australia; Australia,,,,,,7,5,,1.78,1,,https://app.dimensions.ai/details/publication/pub.1085184195,09 Engineering; 0907 Environmental Engineering,,,,,,"C13 Architecture, Built Environment and Planning",11 Sustainable Cities and Communities; 6 Clean Water and Sanitation
